Player Name,Player ID,High Arm Angle Pitch,High Arm Angle,High Arm Pitch Count,Low Arm Angle Pitch,Low Arm Angle,Low Arm Pitch Count,Difference in Arm Angles
RICH HILL,448179,Curveball,37.49,8,Sweeper,3.85,26,33.64
DEIVI GARCÍA,665620,Curveball,55.34,44,4-Seam Fastball,33.98,158,21.36
ERIK MILLER,669062,4-Seam Fastball,44.98,631,Changeup,24.02,430,20.95
HUMBERTO CASTELLANOS,528748,Changeup,27.07,23,Curveball,6.59,27,20.48
TRENT THORNTON,663423,Curveball,43.88,137,Sweeper,24.09,345,19.8
JHONATHAN DÍAZ,646242,Curveball,46.95,20,Sinker,27.89,36,19.05
CALEB BOUSHLEY,676961,Curveball,53.76,10,Sweeper,35.09,9,18.67
JUSTIN BRUIHL,677865,Cutter,50.68,28,Sinker,33.13,30,17.55
YOHAN RAMÍREZ,670990,Curveball,39.39,108,Sinker,22.01,307,17.37
BRADLEY BLALOCK,687134,Curveball,69.02,58,Split-Finger,53.02,88,16
VALENTE BELLOZO,678368,Curveball,49.83,136,Changeup,34.06,152,15.77
VICTOR VODNIK,680767,4-Seam Fastball,46.43,830,Changeup,30.76,221,15.67
GREG WEISSERT,669711,4-Seam Fastball,23.9,220,Sweeper,8.3,299,15.6
YARIEL RODRÍGUEZ,684320,Curveball,48.94,157,Sinker,33.51,162,15.44
BLAKE WALSTON,686796,Curveball,42.3,45,Changeup,27.6,56,14.7
CHASE SHUGART,663767,4-Seam Fastball,44.64,22,Changeup,29.98,26,14.66
CLARKE SCHMIDT,657376,Knuckle Curve,42.76,306,Sweeper,28.32,419,14.44
BRENDON LITTLE,663893,Knuckle Curve,43.69,221,Sinker,29.32,397,14.37
WALKER BUEHLER,621111,Knuckle Curve,51.99,311,Sinker,37.87,239,14.12
JOE KELLY,523260,Knuckle Curve,36,98,Sinker,22.15,157,13.85
JAKE BLOSS,814005,Curveball,56.2,31,Sweeper,42.59,25,13.61
NÉSTOR CORTÉS,641482,4-Seam Fastball,52.83,1272,Sweeper,39.3,454,13.53
JOSH WINCKOWSKI,670174,Cutter,56.3,436,Changeup,42.96,156,13.34
GORDON GRACEFFO,700669,Curveball,54.12,16,Changeup,41.2,26,12.92
TIM HERRIN,682120,Curveball,36.14,369,Sinker,23.29,156,12.85
MATT SAUER,669422,Curveball,50.36,53,Sweeper,37.55,77,12.81
RONNY HENRIQUEZ,678692,4-Seam Fastball,49.18,90,Changeup,36.65,103,12.53
MITCH SPENCE,687765,Curveball,55.25,299,Slider,42.86,810,12.39
SETH HALVORSEN,678020,4-Seam Fastball,46.17,99,Split-Finger,33.82,50,12.35
PAOLO ESPINO,502179,4-Seam Fastball,52.14,52,Changeup,39.8,37,12.34
TOMMY KAHNLE,592454,4-Seam Fastball,44.67,156,Changeup,32.39,657,12.27
JP SEARS,676664,4-Seam Fastball,28.67,1032,Sweeper,16.43,710,12.24
AUSTIN KITCHEN,685116,Curveball,38.39,18,Sinker,26.28,64,12.11
YUSEI KIKUCHI,579328,Curveball,50.96,523,4-Seam Fastball,39.02,1374,11.94
MIKE KING,650633,4-Seam Fastball,36.28,719,Changeup,24.41,717,11.87
LUIS GIL,661563,4-Seam Fastball,39.44,1368,Changeup,27.66,714,11.78
TOUKI TOUSSAINT,657053,Curveball,39.97,128,Sinker,28.2,147,11.77
TYLER GILBERT,656457,Cutter,26.53,19,Sweeper,14.98,22,11.55
MARCO GONZALES,594835,4-Seam Fastball,42.15,175,Changeup,30.72,139,11.43
MAX FRIED,608331,Curveball,52.14,586,Changeup,41.03,377,11.11
YENNIER CANO,666974,Changeup,23.14,252,Slider,12.11,136,11.03
DEVIN WILLIAMS,642207,4-Seam Fastball,28.51,232,Changeup,17.5,197,11
TYLER PHILLIPS,663969,Curveball,36.91,83,Sinker,26.06,175,10.85
CADEN DANA,702674,4-Seam Fastball,47.49,108,Slider,36.68,55,10.81
JAKE BIRD,656234,Curveball,28.06,116,Slider,17.3,193,10.76
JONATHAN HEASLEY,669169,Curveball,57.22,25,Sweeper,46.59,37,10.64
TRISTAN BECK,663941,Curveball,51.62,48,Sweeper,41.02,37,10.6
TOMMY NANCE,667297,Curveball,48.04,121,Slider,37.47,83,10.57
DILLON TATE,622253,Sinker,30.33,315,Sweeper,19.83,195,10.5
ZACH PENROD,683068,4-Seam Fastball,48.21,39,Slider,37.73,21,10.48
CARMEN MLODZINSKI,669387,4-Seam Fastball,29.93,345,Sweeper,19.53,112,10.39
ALAN BUSENITZ,641427,Curveball,44.23,9,Sinker,33.87,17,10.36
MATT BOYD,571510,Changeup,29.28,221,Slider,18.95,150,10.33
ANDREW WANTZ,681806,4-Seam Fastball,41.26,7,Sweeper,30.96,10,10.3
JOE MUSGROVE,605397,Curveball,41.16,355,Sweeper,31.09,314,10.07
CHRIS BASSITT,605135,Curveball,43.78,405,Sinker,33.72,1207,10.06
REYNALDO LÓPEZ,625643,Curveball,49.48,244,Slider,39.43,620,10.05
VLADIMIR GUTIÉRREZ,661269,Curveball,47.96,9,Changeup,37.93,21,10.03
RHETT LOWDER,695076,4-Seam Fastball,35.73,136,Sinker,25.75,129,9.99
